age_group,primary_style,secondary_interests,group_type,budget,climate_preference,safety_importance,popularity_preference
51+,adventure,"culture,food",solo,high,tropical,0.5816776585539812,0.8756919493986972
51+,adventure,beach,friends,medium,tropical,0.6558598614373901,0.8429076856479762
51+,food,"culture,nature",couple,luxury,hot,0.6907696979275857,0.3263230358136982
36-50,relaxation,"culture,nature",couple,luxury,any,0.8820056173026267,0.42559961974867244
18-25,food,"culture,nightlife",friends,high,mild,0.9069344210630084,0.5998412870052447
18-25,beach,"nightlife,nature",solo,low,tropical,0.8216718323494792,0.9402152567529372
51+,food,"nightlife,culture",family,medium,mild,0.9970032392418542,0.5495274562686425
18-25,relaxation,"culture,nightlife",friends,high,any,0.5916967362192658,0.7121288966943828
51+,beach,adventure,friends,medium,cold,0.8165685466012178,0.7868668698984519
18-25,nightlife,"food,nature",friends,luxury,cold,0.8677534187656211,0.6676966966890956
26-35,adventure,"nature,beach",friends,luxury,any,0.5671181135252139,0.8872963003312224
26-35,nightlife,nature,solo,medium,cold,0.7495290856638401,0.8417129302758393
26-35,food,"beach,relaxation",friends,luxury,tropical,0.8426615100359502,0.897850059125574
26-35,nightlife,"nature,relaxation",family,high,any,0.8804657461616663,0.4584117624036341
26-35,beach,"nature,food",friends,high,warm,0.6464734353751627,0.605796162751635
36-50,food,"nature,adventure",friends,luxury,cool,0.5028261347962577,0.6400653028233889
18-25,beach,"adventure,nightlife",solo,medium,hot,0.5295434279448459,0.7460530887526855
18-25,adventure,relaxation,family,medium,hot,0.7574814336891028,0.755337460942066
51+,culture,relaxation,solo,medium,tropical,0.8627846376621855,0.9420171646722786
36-50,nightlife,"culture,adventure",friends,low,any,0.8779320185176679,0.73762406403621
18-25,culture,adventure,family,low,cool,0.527246873914757,0.8763595299861084
18-25,beach,"nature,adventure",solo,low,tropical,0.9065551402815102,0.9702838236753675
36-50,nature,culture,couple,medium,any,0.8775700564347655,0.37124921612666284
51+,adventure,"food,beach",family,luxury,mild,0.9840900401641592,0.8337125832330845
36-50,relaxation,"adventure,nightlife",couple,high,any,0.965046186727563,0.39309822756259144
36-50,food,adventure,friends,high,tropical,0.7660717117628177,0.4364957166153759
26-35,nightlife,beach,solo,high,cool,0.7103238548977556,0.5194680319946949
51+,nightlife,food,couple,low,any,0.9652219863232065,0.44830336922148184
36-50,nightlife,nature,couple,luxury,mild,0.9653528817408943,0.6070994848989472
51+,nature,"beach,relaxation",solo,high,hot,0.9460990164986387,0.3110196802629927
18-25,culture,"relaxation,nightlife",couple,high,cool,0.5583158016833882,0.728253005442276
36-50,adventure,"beach,relaxation",friends,low,hot,0.5782075380355108,0.6890967629292921
36-50,adventure,nature,couple,luxury,mild,0.8328223177649384,0.45778336611169695
51+,nightlife,culture,family,high,any,0.7076490446698245,0.5220919504508685
18-25,culture,"adventure,nature",couple,high,warm,0.7970042175606622,0.5382315574143264
26-35,relaxation,adventure,family,luxury,cool,0.9432408956361995,0.4065929613676078
26-35,beach,"nature,culture",couple,high,cold,0.5315102829098156,0.3304026607204771
18-25,food,"beach,culture",couple,low,cold,0.7895596103079938,0.9629090923957497
26-35,relaxation,"adventure,culture",solo,medium,hot,0.8950863665962903,0.6004876309401679
36-50,beach,"culture,nature",family,high,tropical,0.9769927563052686,0.7560730422248351
36-50,adventure,culture,couple,high,mild,0.9210656177394467,0.4913825880871082
26-35,nature,nightlife,couple,medium,cool,0.9729588986195721,0.46706946432047525
51+,beach,nature,couple,low,cool,0.6689273726356888,0.3312814906177625
51+,food,"relaxation,beach",couple,medium,tropical,0.5186563061740506,0.6917657310286769
51+,nightlife,"culture,adventure",family,medium,cool,0.9626197323224236,0.3479858287795629
51+,relaxation,"beach,culture",friends,luxury,cool,0.6136806983826719,0.6571766819812979
36-50,nightlife,food,friends,medium,cool,0.6059055001143381,0.3896376691839769
51+,beach,"adventure,relaxation",solo,high,tropical,0.500506827794695,0.7271307457814048
18-25,culture,relaxation,couple,low,hot,0.7941054331242233,0.9519717463309569
36-50,nature,culture,friends,low,any,0.6343652457224138,0.7176779815876365
26-35,nature,beach,solo,high,tropical,0.8513921939786286,0.6208661819015915
51+,relaxation,"nature,adventure",friends,high,mild,0.9375306721554894,0.8980468700634976
18-25,nature,adventure,solo,high,tropical,0.5554891259539995,0.7470368230235587
18-25,relaxation,nature,couple,medium,cool,0.79998496502027,0.5834192582819868
26-35,food,"beach,nature",friends,high,cool,0.511862003584133,0.7172799168165399
26-35,food,"relaxation,beach",solo,low,any,0.9373102167110907,0.6547847970979743
26-35,adventure,"culture,nightlife",family,luxury,mild,0.6527779805874652,0.8676927183638048
51+,adventure,"nature,relaxation",friends,medium,mild,0.836147951965241,0.698601703078579
18-25,culture,nightlife,family,medium,warm,0.6739622385596317,0.4241294329814551
18-25,relaxation,culture,solo,medium,warm,0.9909455678751351,0.3271448897810912
18-25,relaxation,nature,couple,low,any,0.5305243180968584,0.9347298497711098
51+,nightlife,"relaxation,food",couple,high,cool,0.8771022091008589,0.5881675931825772
18-25,nature,"relaxation,adventure",couple,high,tropical,0.5599428262048017,0.6099902393760518
26-35,culture,relaxation,family,medium,cool,0.5037506561711927,0.7453256864351894
51+,nature,"culture,relaxation",family,medium,hot,0.6815860517522101,0.7047463796855498
51+,adventure,"beach,culture",couple,low,warm,0.9694839741299954,0.8671198257901345
18-25,nature,relaxation,couple,high,warm,0.6730690861210985,0.3224343259820412
26-35,relaxation,"beach,adventure",friends,medium,hot,0.5555156762440956,0.3905399434420957
18-25,culture,"beach,food",couple,high,any,0.7307656726765234,0.9312463343234549
18-25,relaxation,"nightlife,food",family,luxury,warm,0.7702826481768916,0.475977739671875
36-50,beach,"culture,nature",friends,luxury,cold,0.8361830114222247,0.5070891054513409
36-50,relaxation,adventure,couple,medium,cold,0.6519985034607293,0.8378004344725574
51+,beach,"nightlife,relaxation",friends,low,hot,0.7937722750612138,0.43751285626053377
26-35,relaxation,nightlife,friends,medium,warm,0.8004659892169114,0.7892086534995684
51+,culture,nightlife,family,low,cold,0.6003092737408009,0.43345747210100816
36-50,nightlife,culture,solo,luxury,warm,0.8466594073724745,0.8921132783347983
36-50,food,"relaxation,beach",solo,luxury,tropical,0.806954144161124,0.8331977528185732
18-25,food,"beach,culture",friends,medium,any,0.7556014188748521,0.5994602641979795
26-35,food,nightlife,couple,high,any,0.5942460490199312,0.380344733235379
18-25,beach,relaxation,family,low,any,0.5787101197959659,0.9217449493330017
36-50,nightlife,"beach,relaxation",family,luxury,tropical,0.5125114024146094,0.7738033526396388
51+,adventure,"food,relaxation",friends,luxury,warm,0.7591103105298098,0.7240321530170303
18-25,adventure,nature,couple,medium,warm,0.5950617779661993,0.6672574838857438
18-25,nature,"relaxation,adventure",solo,medium,cool,0.6720420301281459,0.870390201991132
26-35,culture,relaxation,family,medium,any,0.8187095622770109,0.7588209728890565
26-35,relaxation,"adventure,culture",solo,low,tropical,0.5649576746905669,0.45189024616911766
36-50,adventure,"culture,nature",friends,luxury,any,0.5878552974574005,0.5617086197886074
18-25,adventure,"nightlife,food",friends,low,cold,0.7487619454189343,0.7744594292254454
26-35,food,"adventure,beach",family,luxury,any,0.6057563129267999,0.39118049316821296
36-50,beach,"relaxation,nature",friends,high,tropical,0.9705980553178941,0.5777492293262781
26-35,relaxation,"beach,nightlife",couple,high,cool,0.7837356237405468,0.7972842269391456
36-50,culture,"relaxation,adventure",solo,medium,mild,0.7549955109223869,0.5475619872610898
26-35,nature,adventure,solo,low,cold,0.685668438248008,0.9518822722055629
18-25,nightlife,adventure,solo,medium,hot,0.8949533572892969,0.6328143339922485
26-35,beach,relaxation,couple,medium,warm,0.855129917378074,0.9710715112808819
18-25,culture,food,family,luxury,cool,0.5249760789600841,0.8973434945401573
26-35,culture,beach,friends,low,cool,0.6473912507324657,0.869816133477813
26-35,relaxation,"beach,food",solo,medium,cool,0.7772406840734232,0.9387164090143842
51+,adventure,"nightlife,relaxation",couple,high,mild,0.8566512180523453,0.3503074655030093
36-50,nature,nightlife,couple,luxury,hot,0.6293020326853915,0.8661248735319527
51+,nightlife,"nature,adventure",solo,medium,cold,0.8618807150047026,0.46951500314773226
18-25,food,adventure,solo,luxury,tropical,0.5675417668600515,0.47442899350661805
26-35,beach,"nightlife,relaxation",family,low,hot,0.9933996690740794,0.5915519407376832
51+,adventure,nightlife,solo,luxury,any,0.5668264816503192,0.3728057660248073
36-50,food,culture,couple,high,mild,0.757757178221105,0.9221857853893407
36-50,beach,"relaxation,nature",couple,luxury,any,0.668267227110811,0.7218712999680924
51+,culture,food,solo,high,tropical,0.9876455900145773,0.34175776817889636
36-50,culture,"nature,nightlife",friends,luxury,any,0.7103944383377143,0.9139498679776599
51+,adventure,nightlife,family,low,tropical,0.9018802596431816,0.969587424824278
36-50,nature,"food,beach",couple,low,any,0.5854460405691977,0.9743695543400925
18-25,nightlife,"relaxation,nature",couple,medium,warm,0.9713462473304246,0.3745154671591857
18-25,nature,"beach,culture",solo,high,hot,0.5141602662948797,0.7317953822959213
51+,culture,nature,friends,low,any,0.6685857389036215,0.482298801538912
26-35,food,"relaxation,adventure",solo,low,any,0.7904968683391229,0.6858369677714575
36-50,nature,"culture,nightlife",friends,high,any,0.7053008725535683,0.7611900221818123
51+,food,relaxation,solo,low,cool,0.7332787441741708,0.3941371537184502
26-35,nightlife,relaxation,friends,medium,cold,0.535976857883147,0.6875114431336387
51+,beach,adventure,friends,high,cool,0.9139389787223537,0.7168394393781076
18-25,relaxation,"food,nature",solo,medium,mild,0.5347572145617111,0.3929119337215603
18-25,beach,"nightlife,adventure",solo,luxury,hot,0.6438571514377878,0.8836529740931602
36-50,beach,relaxation,couple,low,any,0.8118360505452659,0.7133403282555587
26-35,nature,adventure,friends,medium,any,0.6220962673351592,0.7922728593660391
51+,relaxation,"nightlife,adventure",couple,luxury,hot,0.6309772879080295,0.5836502625233962
18-25,culture,"beach,relaxation",friends,low,cold,0.7598122617169842,0.828538439085633
51+,nature,beach,family,luxury,cold,0.9634532391973563,0.44028231621147107
36-50,relaxation,"food,adventure",family,luxury,hot,0.793495365010666,0.5358531947919551
36-50,nightlife,"relaxation,adventure",family,low,hot,0.7829377141294707,0.8157672565640246
18-25,relaxation,"beach,adventure",family,luxury,cool,0.5959147488574978,0.9911750987680985
18-25,adventure,nature,family,low,tropical,0.8411302186992277,0.8737728846373318
51+,adventure,"beach,nightlife",couple,luxury,hot,0.5313146764153344,0.7456981431543857
26-35,food,culture,couple,medium,hot,0.502403608935021,0.4241750491000764
26-35,nightlife,"culture,nature",solo,low,cool,0.9793823395727421,0.5896411695402016
36-50,relaxation,food,friends,medium,hot,0.6846704426472563,0.8329824702659103
36-50,beach,nature,friends,low,hot,0.7940963701164718,0.6106159535874217
36-50,beach,food,couple,luxury,tropical,0.5734040556564284,0.9267288221935825
26-35,relaxation,culture,friends,low,cold,0.7166217020917625,0.740936610879785
26-35,relaxation,"food,nature",couple,medium,warm,0.7104842905988179,0.30489341036332107
51+,culture,beach,family,high,cool,0.9308648318650069,0.8258592263004711
18-25,nightlife,adventure,solo,high,cool,0.83932050221796,0.9942376378460789
18-25,relaxation,beach,couple,low,cold,0.7427379793756907,0.7274000418267099
26-35,food,"nature,beach",solo,high,mild,0.6525870565194787,0.8604346475549638
51+,nature,culture,couple,high,hot,0.6766987881099162,0.9662706463814934
26-35,nightlife,nature,solo,high,cold,0.9432973207116571,0.9891171657833193
51+,nature,relaxation,friends,high,cool,0.8257431699993769,0.4714460903807506
36-50,food,culture,solo,luxury,cold,0.9928018813863271,0.9027708192564865
51+,nightlife,culture,family,high,any,0.7698145596529886,0.43217850461893265
26-35,adventure,"food,culture",family,high,hot,0.738172700273159,0.7613448175491238
