user_id,destination_id,user_age_group,user_primary_style,user_group_type,user_budget,user_climate_pref,user_safety_importance,user_popularity_pref,user_preferred_month,dest_city,dest_country,dest_continent,dest_cost,dest_climate,dest_popularity,dest_safety,user_likes_adventure,user_likes_beach,user_likes_culture,user_likes_food,user_likes_nature,user_likes_nightlife,user_likes_relaxation,dest_has_adventure,dest_has_beach,dest_has_culture,dest_has_food,dest_has_nature,dest_has_nightlife,dest_has_relaxation,compatibility_score,label
0,14,51+,adventure,solo,high,tropical,0.5816776585539812,0.8756919493986972,Mar,Seoul,South Korea,Asia,1200,mild,8,8,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0.535,1
0,80,51+,adventure,solo,high,tropical,0.5816776585539812,0.8756919493986972,Mar,La Paz,Bolivia,South America,750,cool,6,6,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0.611,0
0,46,51+,adventure,solo,high,tropical,0.5816776585539812,0.8756919493986972,Mar,Venice,Italy,Europe,1500,warm,9,7,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0.525,1
0,24,51+,adventure,solo,high,tropical,0.5816776585539812,0.8756919493986972,Mar,Cairo,Egypt,Africa,800,hot,7,6,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0.617,1
0,42,51+,adventure,solo,high,tropical,0.5816776585539812,0.8756919493986972,Mar,Berlin,Germany,Europe,1200,mild,8,9,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0.506,0
0,91,51+,adventure,solo,high,tropical,0.5816776585539812,0.8756919493986972,Mar,Fiji,Fiji,Oceania,1650,tropical,8,8,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0.746,1
0,48,51+,adventure,solo,high,tropical,0.5816776585539812,0.8756919493986972,Mar,Oslo,Norway,Europe,1700,cool,7,9,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0.358,0
0,5,51+,adventure,solo,high,tropical,0.5816776585539812,0.8756919493986972,Mar,Amsterdam,Netherlands,Europe,1400,mild,8,8,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0.526,1
0,27,51+,adventure,solo,high,tropical,0.5816776585539812,0.8756919493986972,Mar,Queenstown,New Zealand,Oceania,1900,cool,7,9,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0.472,0
0,82,51+,adventure,solo,high,tropical,0.5816776585539812,0.8756919493986972,Mar,Zanzibar,Tanzania,Africa,1100,tropical,7,7,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0.622,0
